label,url_length,num_dots,has_https
1,33,4,0
1,32,4,0
1,28,3,0
1,29,3,0
1,27,3,0
1,29,3,0
1,28,3,0
1,32,4,0
1,34,4,0
1,29,3,0
1,35,4,0
1,32,4,0
1,27,3,0
1,34,4,0
1,34,4,0
1,34,4,0
1,32,4,0
1,29,3,0
1,32,4,0
1,28,3,0
1,25,3,0
1,24,3,0
1,27,3,0
1,28,3,0
1,27,3,0
1,25,3,0
1,25,3,0
1,27,3,0
1,27,3,0
1,24,3,0
1,25,3,0
1,27,3,0
1,28,3,0
1,27,3,0
1,38,2,1
1,27,3,0
1,31,4,0
1,32,4,0
1,35,2,1
1,33,4,0
1,34,4,0
1,33,4,0
1,28,3,0
1,26,3,0
1,29,3,0
1,34,4,0
1,28,3,0
1,28,3,0
1,25,3,0
1,34,4,0
1,28,3,0
1,26,3,0
1,55,7,0
1,27,4,0
1,47,7,0
1,34,4,0
1,35,4,0
1,35,4,0
1,55,7,0
1,35,4,0
1,55,7,0
1,55,7,0
1,54,7,0
1,55,7,0
1,54,7,0
1,34,4,0
1,35,4,0
1,54,7,0
1,55,7,0
1,35,4,0
1,27,4,0
1,35,4,0
1,34,4,0
1,24,4,0
1,44,7,0
1,47,7,0
1,24,4,0
1,44,7,0
1,49,4,0
1,36,2,1
1,31,4,0
1,34,4,0
1,28,3,0
1,28,3,0
1,29,3,0
1,36,2,1
1,30,4,0
1,33,4,0
1,27,3,0
1,33,4,0
1,33,4,0
1,28,3,0
1,30,3,0
1,49,4,0
1,33,4,0
1,28,3,0
1,32,4,0
1,33,4,0
1,35,4,0
1,49,4,0
1,27,3,0
1,32,4,0
1,28,4,0
1,33,4,0
1,33,4,0
1,33,4,0
1,33,4,0
1,33,4,0
1,32,4,0
1,33,4,0
1,32,4,0
1,25,4,0
1,25,4,0
1,33,4,0
1,28,3,0
1,27,3,0
1,32,4,0
1,34,4,0
1,35,4,0
1,33,4,0
1,30,3,0
1,37,2,1
1,35,4,0
1,32,4,0
1,26,3,0
1,34,4,0
1,33,4,0
1,35,2,1
1,33,4,0
1,49,4,0
1,27,3,0
1,28,3,0
1,33,4,0
1,49,4,0
1,49,4,0
1,27,3,0
1,32,4,0
1,32,4,0
1,33,4,0
1,33,4,0
1,30,2,1
1,28,3,0
1,29,3,0
1,32,4,0
1,29,3,0
1,32,4,0
1,30,3,0
1,30,3,0
1,26,3,0
1,33,4,0
1,35,4,0
1,35,4,0
1,28,3,0
1,31,4,0
1,34,4,0
1,40,4,0
1,41,4,0
1,41,4,0
1,41,4,0
1,40,4,0
1,40,4,0
1,40,4,0
1,41,4,0
1,41,4,0
1,41,4,0
1,41,4,0
1,37,4,0
1,43,4,0
1,41,4,0
1,40,4,0
1,34,2,1
1,31,4,0
1,42,3,1
1,29,3,0
1,26,3,0
1,37,4,0
1,29,3,0
1,28,3,0
1,35,2,1
1,28,3,0
1,34,4,0
1,31,4,0
1,28,3,0
1,33,4,0
1,34,4,0
1,34,4,0
1,27,2,1
1,34,4,0
1,28,3,0
1,26,3,0
1,29,3,0
1,28,3,0
1,30,3,0
1,27,3,0
1,29,3,0
1,33,4,0
1,33,4,0
1,30,3,0
1,29,3,0
1,29,3,0
1,31,4,0
1,26,3,0
1,29,3,0
1,28,3,0
1,49,4,0
1,35,4,0
1,28,3,0
1,28,3,0
1,33,4,0
1,34,4,0
1,34,4,0
1,32,4,0
1,31,4,0
1,27,3,0
1,35,2,1
1,30,3,0
1,33,4,0
1,29,3,0
1,34,4,0
1,28,3,0
1,26,3,0
1,29,3,0
1,34,4,0
1,34,4,0
1,35,4,0
1,34,4,0
1,27,3,0
1,28,3,0
1,33,4,0
1,35,2,1
1,29,3,0
1,32,4,0
1,35,2,1
1,32,4,0
1,28,3,0
1,33,4,0
1,27,3,0
1,29,3,0
1,49,4,0
1,34,4,0
1,33,4,0
1,32,4,0
1,27,3,0
1,29,3,0
1,28,3,0
1,34,4,0
1,49,4,0
1,29,3,0
1,30,3,0
1,34,4,0
1,33,4,0
1,52,2,1
1,42,2,1
1,59,3,0
1,28,3,0
1,69,2,1
1,40,1,1
1,38,3,1
1,40,1,1
1,38,3,1
1,80,2,1
1,80,2,1
1,35,3,1
1,43,2,1
1,43,2,1
1,43,2,1
1,29,3,0
1,35,3,1
1,43,2,1
1,35,3,1
1,40,3,1
1,40,3,1
1,38,4,0
1,37,4,0
1,37,4,0
1,37,4,0
1,40,4,0
1,33,4,0
1,37,4,0
1,42,4,0
1,37,4,0
1,38,4,0
1,38,4,0
1,38,4,0
1,33,4,0
1,38,4,0
1,39,4,0
